,release,title,origin,director,cast,genre
6242,1955,At Gunpoint,American,Alfred L. Werker,"Fred MacMurray, Dorothy Malone",western
6243,1955,Bad Day at Black Rock,American,John Sturges,"Spencer Tracy, Robert Ryan, Walter Brennan, Lee Marvin, Ernest Borgnine, Anne Francis",western
6244,1955,Battle Cry,American,Raoul Walsh,"Van Heflin, Aldo Ray, James Whitmore, Tab Hunter, Mona Freeman, Anne Francis",war
6245,1955,Battle Taxi,American,Herbert L. Strock,"Sterling Hayden, Arthur Franz",war drama
6246,1955,Beanstalk Bunny,American,Chuck Jones,Looney Tunes,animation
6247,1955,Bedevilled,American,Mitchell Leisen,"Anne Baxter, Steve Forrest",crime
6248,1955,The Big Bluff,American,Lee Wilder,"Martha Vickers, John Bromfield",crime
6249,1955,The Big Combo,American,Joseph H. Lewis,"Cornel Wilde, Richard Conte",film noir
6250,1955,"Big House, U.S.A.",American,Howard W. Koch,"Broderick Crawford, William Talman, Charles Bronson",crime
6251,1955,The Big Knife,American,Robert Aldrich,"Jack Palance, Ida Lupino, Rod Steiger, Shelley Winters, Wendell Corey, Jean Hagen",drama
6252,1955,Blackboard Jungle,American,Richard Brooks,"Glenn Ford, Sidney Poitier, Vic Morrow, Richard Kiley, Louis Calhern, Anne Francis",drama
6253,1955,Blood Alley,American,William A. Wellman,"John Wayne, Lauren Bacall",drama
6254,1955,Bowery to Bagdad,American,Edward Bernds,"Leo Gorcey, Huntz Hall, Eric Blore",comedy
6255,1955,Bride of the Monster,American,Ed Wood,Bela Lugosi,science fiction
6256,1955,Bring Your Smile Along,American,Blake Edwards,"Frankie Laine, Constance Towers",comedy
6257,1955,A Bullet for Joey,American,Lewis Allen,"Edward G. Robinson, George Raft, Audrey Totter",film noir
6258,1955,Canyon Crossroads,American,Alfred L. Werker,"Richard Basehart, Phyllis Kirk",western
6259,1955,Chicago Syndicate,American,Fred F. Sears,"Dennis O'Keefe, Abbe Lane",film noir
6260,1955,The Cobweb,American,Vincente Minnelli,"Richard Widmark, Gloria Grahame, Lauren Bacall, Lillian Gish, Charles Boyer, John Kerr, Susan Strasberg, Fay Wray, Adele Jergens, Oscar Levant",drama
6261,1955,Conquest of Space,American,Byron Haskin,"Walter Brooke, Mickey Shaughnessy",sci
6262,1955,Count Three and Pray,American,George Sherman,"Van Heflin, Joanne Woodward",western
6263,1955,The Court-Martial of Billy Mitchell,American,Otto Preminger,"Gary Cooper, Rod Steiger, Charles Bickford, Elizabeth Montgomery",drama
6264,1955,Crashout,American,Lewis R. Foster,"William Bendix, William Talman, Arthur Kennedy",film noir
6265,1955,Creature with the Atom Brain,American,Edward L. Cahn,"Richard Denning, Angela Stevens",sci
6266,1955,The Crooked Web,American,Nathan Juran,"Frank Lovejoy, Mari Blanchard",film noir
6267,1955,Cult of the Cobra,American,Francis D. Lyon,"Faith Domergue, Richard Long",sci
6268,1955,Daddy Long Legs,American,Jean Negulesco,"Fred Astaire, Leslie Caron",musical
6269,1955,The Dark Avenger,American,Henry Levin,"Errol Flynn, Joanne Dru",adventure
6270,1955,"Davy Crockett, King of the Wild Frontier",American,Norman Foster,"Fess Parker, Buddy Ebsen",adventure
6271,1955,Day the World Ended,American,Roger Corman,"Richard Denning, Adele Jergens",sci
6272,1955,Desert Sands,American,Lesley Selander,"Ralph Meeker, Marla English",adventure
6273,1955,The Desperate Hours,American,William Wyler,"Humphrey Bogart, Fredric March, Gig Young, Arthur Kennedy, Martha Scott",film noir
6274,1955,Devil Goddess,American,Spencer G. Bennet,"Johnny Weissmuller, Angela Stevens",adventure
6275,1955,East of Eden,American,Elia Kazan,"Julie Harris, James Dean, Raymond Massey, Burl Ives, Richard Davalos, Jo Van Fleet, Albert Dekker",drama
6276,1955,The End of the Affair,American,Edward Dmytryk,"Deborah Kerr, Van Johnson",drama
6277,1955,Escape to Burma,American,Allan Dwan,"Barbara Stanwyck, Robert Ryan",adventure
6278,1955,The Eternal Sea,American,John H. Auer,"Sterling Hayden, Alexis Smith",war
6279,1955,The Far Country,American,Anthony Mann,"James Stewart, Walter Brennan",western
6280,1955,The Far Horizons,American,Rudolph Maté,"Fred MacMurray, Charlton Heston",historical
6281,1955,The Fast and the Furious,American,John Ireland,"John Ireland, Dorothy Malone",action
6282,1955,Female Jungle,American,Bruno VeSota,"Lawrence Tierney, Jayne Mansfield",film noir
6283,1955,Female on the Beach,American,Joseph Pevney,"Joan Crawford, Jeff Chandler",film noir
6284,1955,The Fighting Chance,American,William Witney,"Julie London, Rod Cameron",drama
6285,1955,Finger Man,American,Harold D. Schuster,"Forrest Tucker, Peggie Castle",film noir
6286,1955,Fort Yuma,American,Lesley Selander,"Peter Graves, Joan Vohs",western
6287,1955,Foxfire,American,Joseph Pevney,"Jane Russell, Jeff Chandler, Dan Duryea",drama
6288,1955,Francis in the Navy,American,Arthur Lubin,"Donald O'Connor, Martha Hyer",comedy
6289,1955,The Gamma People,American,John Gilling,"Paul Douglas, Eva Bartok",sci
6290,1955,Gentlemen Marry Brunettes,American,Richard Sale,"Jane Russell, Jeanne Crain",musical
6291,1955,The Girl in the Red Velvet Swing,American,Richard Fleischer,"Ray Milland, Joan Collins, Farley Granger",period drama
6292,1955,The Girl Rush,American,Robert Pirosh,"Rosalind Russell, Fernando Lamas",comedy
6293,1955,The Glass Slipper,American,Charles Walters,"Leslie Caron, Michael Wilding",musical
6294,1955,Good Morning Miss Dove,American,Henry Koster,"Jennifer Jones, Robert Stack",drama
6295,1955,The Gun That Won the West,American,William Castle,"Dennis Morgan, Paula Raymond",western
6296,1955,Guys and Dolls,American,Joseph L. Mankiewicz,"Marlon Brando, Frank Sinatra, Jean Simmons, Vivian Blaine",musical
6297,1955,Hare Brush,American,Friz Freleng,Looney Tunes,animation
6298,1955,Hell on Frisco Bay,American,Frank Tuttle,"Alan Ladd, Edward G. Robinson",film noir
6299,1955,Hell's Horizon,American,Tom Gries,"John Ireland, Marla English",war
6300,1955,Hell's Island,American,Phil Karlson,"John Payne, Mary Murphy",film noir
6301,1955,Hit the Deck,American,Roy Rowland,"Ann Miller, Jane Powell, Debbie Reynolds, Tony Martin, Russ Tamblyn, Vic Damone",musical
6302,1955,Hold Back Tomorrow,American,Hugo Haas,"John Agar, Cleo Moore",drama
6303,1955,House of Bamboo,American,Samuel Fuller,"Robert Ryan, Robert Stack",drama
6304,1955,"How to Be Very, Very Popular",American,Nunnally Johnson,"Betty Grable, Sheree North, Bob Cummings",comedy
6305,1955,Hyde and Hare,American,Friz Freleng,Looney Tunes,animation
6306,1955,I Am a Camera,American,Henry Cornelius,"Julie Harris, Laurence Harvey, Ron Randell, Shelley Winters",comedy
6307,1955,I Died a Thousand Times,American,Stuart Heisler,"Jack Palance, Shelley Winters",crime drama
6308,1955,I'll Cry Tomorrow,American,Daniel Mann,"Susan Hayward, Richard Conte",drama
6309,1955,Illegal,American,Lewis Allen,"Edward G. Robinson, Nina Foch, Jayne Mansfield",film noir
6310,1955,The Indian Fighter,American,Andre DeToth,"Kirk Douglas, Elsa Martinelli",western
6311,1955,Interrupted Melody,American,Curtis Bernhardt,"Glenn Ford, Eleanor Parker",drama
6312,1955,It Came from Beneath the Sea,American,Robert Gordon,"Kenneth Tobey, Faith Domergue",science fiction
6313,1955,It's Always Fair Weather,American,Gene Kelly,"Gene Kelly, Cyd Charisse, Dan Dailey, Michael Kidd",musical
6314,1955,It's a Dog's Life,American,Herman Hoffman,"Edmund Gwenn, Dean Jagger",drama
6315,1955,Jail Busters,American,William Beaudine,"Leo Gorcey, Huntz Hall",comedy
6316,1955,Joe MacBeth,American,Ken Hughes,"Jean Simmons, Paul Douglas",drama
6317,1955,Jump into Hell,American,David Butler,"Kurt Kasznar, Patricia Blair",war
6318,1955,Jungle Moon Men,American,Charles S. Gould,"Johnny Weissmuller, Jean Byron",adventure
6319,1955,The Kentuckian,American,Burt Lancaster,"Burt Lancaster, Dianne Foster, Diana Lynn",adventure
6320,1955,Kentucky Rifle,American,Carl Hittleman,"Chill Wills, Cathy Downs",western
6321,1955,Killer's Kiss,American,Stanley Kubrick,"Jamie Smith, Frank Silvera",drama
6322,1955,King of the Carnival,American,Franklin Adreon,"Harry Lauter, Fran Bennett",serial
6323,1955,King's Rhapsody,American,Herbert Wilcox,"Errol Flynn, Patrice Wymore",drama
6324,1955,The King's Thief,American,Robert Z. Leonard,"Ann Blyth, David Niven",adventure
6325,1955,Kismet,American,Vincente Minnelli,"Howard Keel, Ann Blyth, Dolores Gray",musical
6326,1955,Kiss Me Deadly,American,Robert Aldrich,"Ralph Meeker, Albert Dekker, Gaby Rodgers, Cloris Leachman",film noir
6327,1955,Kiss of Fire,American,Joseph M. Newman,"Jack Palance, Barbara Rush",adventure
6328,1955,Lady and the Tramp,American,"Clyde Geronimi, Wilfred Jackson","Peggy Lee, Barbara Luddy",animation
6329,1955,Lady Godiva of Coventry,American,Arthur Lubin,"Maureen O'Hara, George Nader, Victor McLaglen",historical
6330,1955,Land of the Pharaohs,American,Howard Hawks,"Jack Hawkins, Joan Collins",adventure
6331,1955,The Last Command,American,Frank Lloyd,"Sterling Hayden, Anna Maria Alberghetti, Ernest Borgnine",war
6332,1955,The Last Frontier,American,Anthony Mann,"Victor Mature, Guy Madison, Robert Preston, Anne Bancroft",western
6333,1955,A Lawless Street,American,Joseph H. Lewis,"Randolph Scott, Angela Lansbury",western
6334,1955,The Left Hand of God,American,Edward Dmytryk,"Humphrey Bogart, Gene Tierney",drama
6335,1955,The Long Gray Line,American,John Ford,"Tyrone Power, Maureen O'Hara",drama
6336,1955,Love Me or Leave Me,American,Charles Vidor,"Doris Day, James Cagney",musical
6337,1955,Lucy Gallant,American,Robert Parrish,"Jane Wyman, Charlton Heston",drama
6338,1955,Magic Fire,American,William Dieterle,"Alan Badel, Valentina Cortese, Rita Gam, Yvonne De Carlo",biography
6339,1955,Mambo,American,Robert Rossen,"Silvana Mangano, Michael Rennie",drama
6340,1955,A Man Alone,American,Ray Milland,"Ray Milland, Mary Murphy",western
6341,1955,A Man Called Peter,American,Henry Koster,"Richard Todd, Jean Peters",drama
6342,1955,The Man from Bitter Ridge,American,Jack Arnold,"Mara Corday, Lex Barker",western
6343,1955,The Man from Laramie,American,Anthony Mann,"James Stewart, Arthur Kennedy, Cathy O'Donnell, Donald Crisp",western
6344,1955,The Man with the Golden Arm,American,Otto Preminger,"Frank Sinatra, Eleanor Parker, Kim Novak, Darren McGavin",drama
6345,1955,Man with the Gun,American,Richard Wilson,"Robert Mitchum, Jan Sterling",western
6346,1955,Man Without a Star,American,King Vidor,"Kirk Douglas, Jeanne Crain, Claire Trevor, Richard Boone",western
6347,1955,Many Rivers to Cross,American,Roy Rowland,"Robert Taylor, Eleanor Parker",romance
6348,1955,The Marauders,American,Gerald Mayer,"Dan Duryea, Keenan Wynn",western
6349,1955,Marty,American,Delbert Mann,"Ernest Borgnine, Betsy Blair",drama
6350,1955,The McConnell Story,American,Gordon Douglas,"Alan Ladd, June Allyson",biography
6351,1955,Mister Roberts,American,John Ford,"Henry Fonda, James Cagney, Jack Lemmon, William Powell, Ward Bond, Betsy Palmer",war
6352,1955,Moonfleet,American,Fritz Lang,"George Sanders, Stewart Granger",drama
6353,1955,Mr. Arkadin,American,Orson Welles,"Orson Welles, Akim Tamiroff",drama
6354,1955,Murder Is My Beat,American,Edgar G. Ulmer,"Barbara Payton, Paul Langton",crime drama
6355,1955,The Naked Dawn,American,Edgar G. Ulmer,"Arthur Kennedy, Betta St. John",western
6356,1955,The Naked Street,American,Maxwell Shane,"Anne Bancroft, Anthony Quinn",drama
6357,1955,New Orleans Uncensored,American,William Castle,"Beverly Garland, Arthur Franz",crime
6358,1955,New York Confidential,American,Russell Rouse,"Broderick Crawford, Richard Conte",crime drama
6359,1955,The Night Holds Terror,American,Andrew Stone,"Vince Edwards, John Cassavetes",drama
6360,1955,The Night of the Hunter,American,Charles Laughton,"Robert Mitchum, Shelley Winters",suspense
6361,1955,Not as a Stranger,American,Stanley Kramer,"Robert Mitchum, Frank Sinatra",drama
6362,1955,Oklahoma!,American,Fred Zinnemann,"Gordon MacRae, Shirley Jones, Rod Steiger, Gloria Grahame, Gene Nelson, Eddie Albert",musical
6363,1955,One Desire,American,Jerry Hopper,"Anne Baxter, Rock Hudson, Julia Adams",romantic drama
6365,1955,Outlaw Treasure,American,Oliver Drake,Adele Jergens,western
6366,1955,Panther Girl of the Kongo,American,Franklin Adreon,Phyllis Coates,serial
6367,1955,Paris Follies of 1956,American,Leslie Goodwins,"Forrest Tucker, Margaret Whiting, Barbara Whiting, Martha Hyer",musical
6368,1955,Pearl of the South Pacific,American,Allan Dwan,"Virginia Mayo, Dennis Morgan",adventure
6369,1955,Pete Kelly's Blues,American,Jack Webb,"Jack Webb, Janet Leigh",drama
6370,1955,"The Phantom from 10,000 Leagues",American,Dan Milner,"Kent Taylor, Cathy Downs",science fiction
6371,1955,The Phenix City Story,American,Phil Karlson,"John McIntire, Richard Kiley",drama
6372,1955,Picnic,American,Joshua Logan,"William Holden, Kim Novak, Rosalind Russell, Susan Strasberg, Cliff Robertson, Betty Field",drama
6373,1955,Prince of Players,American,Philip Dunne,"Richard Burton, John Derek",historical
6374,1955,A Prize of Gold,American,Mark Robson,"Richard Widmark, Mai Zetterling",drama
6375,1955,The Prodigal,American,Richard Thorpe,"Lana Turner, Louis Calhern",drama
6376,1955,The Purple Mask,American,H. Bruce Humberstone,"Tony Curtis, Colleen Miller, Angela Lansbury",adventure
6377,1955,Queen Bee,American,Ranald MacDougall,"Joan Crawford, Betsy Palmer",drama
6378,1955,Rabbit Rampage,American,Chuck Jones,Looney Tunes,animation
6379,1955,The Racers,American,Henry Hathaway,"Kirk Douglas, Bella Darvi",sports drama
6380,1955,Rage at Dawn,American,Tim Whelan,"Randolph Scott, Forrest Tucker",western
6381,1955,The Rains of Ranchipur,American,Jean Negulesco,"Lana Turner, Richard Burton, Fred MacMurray, Michael Rennie",drama
6382,1955,Rebel Without a Cause,American,Nicholas Ray,"James Dean, Natalie Wood",drama
6383,1955,Revenge of the Creature,American,Jack Arnold,"John Agar, Lori Nelson",science fiction
6384,1955,The Road to Denver,American,Joseph Kane,"John Payne, Mona Freeman",western
6385,1955,Robbers' Roost,American,Sidney Salkow,"Richard Boone, George Montgomery",western
6386,1955,The Rose Tattoo,American,Daniel Mann,"Anna Magnani, Burt Lancaster",drama
6387,1955,Run for Cover,American,Nicholas Ray,"James Cagney, Viveca Lindfors, John Derek",western
6388,1955,Sahara Hare,American,Friz Freleng,Bugs Bunny,animated short
6389,1955,Santa Fe Passage,American,William Witney,"John Payne, Faith Domergue",western
6390,1955,The Scarlet Coat,American,John Sturges,"Cornel Wilde, Michael Wilding, Anne Francis",historical
6391,1955,The Sea Chase,American,John Farrow,"Lana Turner, John Wayne",adventure
6392,1955,The Second Greatest Sex,American,George Marshall,"Jeanne Crain, Kitty Kallen, Mamie van Doren, Kathleen Case, George Nader, Bert Lahr",musical comedy
6393,1955,Seven Angry Men,American,Charles Marquis Warren,"Raymond Massey, Jeffrey Hunter, Debra Paget",drama
6394,1955,Seven Cities of Gold,American,Robert D. Webb,"Jeffrey Hunter, Rita Moreno",adventure
6395,1955,The Seven Little Foys,American,Melville Shavelson,"Bob Hope, James Cagney",comedy
6396,1955,The Seven Year Itch,American,Billy Wilder,"Tom Ewell, Marilyn Monroe",comedy
6397,1955,Shack Out on 101,American,Edward Dein,"Terry Moore, Frank Lovejoy, Lee Marvin",film noir
6398,1955,The Shrike,American,José Ferrer,"José Ferrer, June Allyson",drama
6399,1955,Sincerely Yours,American,Gordon Douglas,"Liberace, Joanne Dru, Dorothy Malone",drama
6400,1955,Six Bridges to Cross,American,Joseph Pevney,"Tony Curtis, George Nader, Julie Adams, Sal Mineo, Jay C. Flippen",film noir
6401,1955,Smoke Signal,American,Jerry Hopper,"Dana Andrews, Piper Laurie",western
6402,1955,So This Is Paris,American,Richard Quine,"Tony Curtis, Gloria DeHaven",musical
6403,1955,Soldier of Fortune,American,Edward Dmytryk,"Clark Gable, Susan Hayward",drama
6404,1955,Son of Sinbad,American,Ted Tetzlaff,"Dale Robertson, Sally Forrest, Vincent Price",adventure
6405,1955,Southbound Duckling,American,Hanna-Barbera,Tom and Jerry,animation
6406,1955,Special Delivery,American,John Brahm,"Joseph Cotten, Eva Bartok",comedy
6407,1955,The Spoilers,American,Jesse Hibbs,"Anne Baxter, Jeff Chandler",western
6408,1955,Spy Chasers,American,Edward Bernds,"Leo Gorcey, Huntz Hall, Sig Ruman",comedy
6409,1955,The Square Jungle,American,Jerry Hopper,"Tony Curtis, Patricia Crowley, Ernest Borgnine",film noir
6410,1955,Storm Fear,American,Cornel Wilde,"Cornel Wilde, Jean Wallace, Lee Grant",film noir
6411,1955,Strange Lady in Town,American,Mervyn LeRoy,"Greer Garson, Dana Andrews, Cameron Mitchell",western
6412,1955,Stranger on Horseback,American,Jacques Tourneur,"Joel McCrea, Nancy Gates",western
6413,1955,Strategic Air Command,American,Anthony Mann,"James Stewart, June Allyson",drama
6414,1955,Sudden Danger,American,Hubert Cornfield,"Bill Elliott, Beverly Garland",suspense
6415,1955,Summertime,American,David Lean,"Katharine Hepburn, Rossano Brazzi",drama
6416,1955,Swamp Women,American,Roger Corman,"Beverly Garland, Marie Windsor",science fiction
6417,1955,The Tall Men,American,Raoul Walsh,"Clark Gable, Jane Russell",western
6418,1955,Tarantula,American,Jack Arnold,"Leo G. Carroll, John Agar, Mara Corday",science fiction
6419,1955,Target Zero,American,Harmon Jones,"Richard Conte, Peggie Castle",war
6420,1955,Tarzan's Hidden Jungle,American,Harold Schuster,"Gordon Scott, Vera Miles",adventure
6421,1955,Teen-Age Crime Wave,American,Fred F. Sears,"Sue England, Tommy Cook",crime
6422,1955,The Tender Trap,American,Charles Walters,"Frank Sinatra, Debbie Reynolds, Celeste Holm",romantic comedy
6423,1955,Ten Wanted Men,American,H. Bruce Humberstone,"Randolph Scott, Jocelyn Brando, Richard Boone, Alfonso Bedoya, Donna Martell",western
6424,1955,Texas Lady,American,Tim Whelan,"Claudette Colbert, Barry Sullivan",western
6425,1955,That's My Mommy,American,Hanna-Barbera,Tom and Jerry,animation
6426,1955,This Island Earth,American,Joseph M. Newman,"Rex Reason, Jeff Morrow, Faith Domergue",science fiction
6427,1955,Three for the Show,American,H. C. Potter,"Betty Grable, Jack Lemmon, Gower Champion",musical
6428,1955,Three Stripes in the Sun,American,Richard Murphy,"Aldo Ray, Philip Carey",war
6429,1955,Tight Spot,American,Phil Karlson,"Ginger Rogers, Edward G. Robinson, Brian Keith",film noir
6430,1955,To Catch a Thief,American,Alfred Hitchcock,"Cary Grant, Grace Kelly",suspense
6431,1955,Tom and Chérie,American,Hanna-Barbera,Tom and Jerry,animation
6432,1955,Top Gun,American,Ray Nazarro,"Sterling Hayden, Karin Booth",western
6433,1955,Top of the World,American,Lewis R. Foster,"Dale Robertson, Evelyn Keyes",adventure
6434,1955,The Treasure of Pancho Villa,American,George Sherman,"Rory Calhoun, Shelley Winters, Gilbert Roland",western
6435,1955,Trial,American,Mark Robson,"Glenn Ford, Katy Jurado, Arthur Kennedy",drama
6436,1955,The Trouble with Harry,American,Alfred Hitchcock,"Shirley MacLaine, John Forsythe, Jerry Mathers",comedy
6437,1955,The Twinkle in God's Eye,American,George Blair,"Mickey Rooney, Coleen Gray",western
6438,1955,Unchained,American,Hall Bartlett,"Barbara Hale, Elroy Hirsch",drama
6439,1955,Untamed,American,Henry King,"Tyrone Power, Susan Hayward",adventure
6440,1955,The Violent Men,American,Rudolph Mate,"Glenn Ford, Barbara Stanwyck, Edward G. Robinson, Brian Keith, Dianne Foster",western
6441,1955,The Vanishing American,American,Joseph Kane,"Audrey Totter, Scott Brady",western
6442,1955,Violent Saturday,American,Richard Fleischer,"Victor Mature, Richard Egan, Lee Marvin, Stephen McNally, Virginia Leith",crime
6443,1955,The Virgin Queen,American,Henry Koster,"Bette Davis, Richard Todd, Joan Collins",historical
6444,1955,We're No Angels,American,Michael Curtiz,"Humphrey Bogart, Peter Ustinov, Aldo Ray",comedy
6445,1955,Wiretapper,American,Dick Ross,"Bill Williams, Douglas Kennedy",western
6446,1955,Women's Prison,American,Lewis Seiler,"Ida Lupino, Jan Sterling, Audrey Totter",crime drama
6447,1955,A Word to the Wives….,American,Norman Lloyd,"Marsha Hunt, Darren McGavin",comedy
6448,1955,Yellowneck,American,R. John Hugh,Lin McCarthy,drama
6449,1955,You're Never Too Young,American,Norman Taurog,"Dean Martin, Jerry Lewis",comedy
6450,1956,7th Cavalry,American,Joseph H. Lewis,"Randolph Scott, Barbara Hale",western
6451,1956,Accused of Murder,American,Joseph Kane,"David Brian, Vera Ralston, Sidney Blackmer, Lee Van Cleef",film noir
6452,1956,Alexander the Great,American,Robert Rossen,"Richard Burton, Claire Bloom, Fredric March, Danielle Darrieux",drama
6453,1956,The Ambassador's Daughter,American,Norman Krasna,"Olivia de Havilland, John Forsythe, Adolphe Menjou, Myrna Loy",romantic comedy
6454,1956,Anastasia,American,Anatole Litvak,"Ingrid Bergman, Yul Brynner, Helen Hayes",drama
6455,1956,Anything Goes,American,Robert Lewis,"Bing Crosby, Donald O'Connor, Phil Harris, Mitzi Gaynor",musical
6456,1956,Around the World in Eighty Days,American,"Michael Anderson, John Farrow","David Niven, Cantinflas, Shirley MacLaine, Robert Newton",adventure
6457,1956,At Gunpoint,American,Alfred L. Werker,"Fred MacMurray, Dorothy Malone",western
6458,1956,Attack,American,Robert Aldrich,"Jack Palance, Eddie Albert, Lee Marvin",war
6459,1956,Autumn Leaves,American,Robert Aldrich,"Joan Crawford, Cliff Robertson",drama
6460,1956,Baby Doll,American,Elia Kazan,"Carroll Baker, Karl Malden, Eli Wallach, Mildred Dunnock",drama
6461,1956,Back from Eternity,American,John Farrow,"Robert Ryan, Anita Ekberg, Rod Steiger, Gene Barry",drama
6462,1956,Backlash,American,John Sturges,"Richard Widmark, Donna Reed",western
6463,1956,The Bad Seed,American,John Sturges,"Nancy Kelly, Patty McCormack",suspense
6464,1956,Bandido,American,Richard Fleischer,"Robert Mitchum, Ursula Thiess, Gilbert Roland",western
6465,1956,Barbecue Brawl,American,"William Hanna, Joseph Barbera",Tom and Jerry,animation
6466,1956,The Beast of Hollow Mountain,American,"Edward Nassour, Ismael Rodriguez","Guy Madison, Patricia Medina",horror
6467,1956,Behind the High Wall,American,Abner Biberman,"Tom Tully, John Gavin",film noir
6468,1956,The Benny Goodman Story,American,Valentine Davies,"Steve Allen, Donna Reed",biography
6469,1956,Between Heaven and Hell,American,Richard Fleischer,"Robert Wagner, Buddy Ebsen, Broderick Crawford",war
6470,1956,Beyond Mombasa,American,George Marshall,"Cornel Wilde, Donna Reed",adventure
6471,1956,Beyond a Reasonable Doubt,American,Fritz Lang,"Dana Andrews, Joan Fontaine, Sidney Blackmer",film noir
6472,1956,Bhowani Junction,American,George Cukor,"Ava Gardner, Stewart Granger, Bill Travers",drama
6473,1956,Bigger Than Life,American,Nicholas Ray,"James Mason, Barbara Rush, Walter Matthau",drama
6474,1956,The Birds and the Bees,American,Norman Taurog,"George Gobel, Mitzi Gaynor, David Niven",musical
6475,1956,The Black Sleep,American,Reginald Le Borg,"Basil Rathbone, Lon Chaney",horror
6476,1956,The Black Whip,American,Charles Marquis Warren,"Hugh Marlowe, Coleen Gray, Adele Mara, Angie Dickinson",western
6477,1956,"Blackjack Ketchum, Desperado",American,Earl Bellamy,"Howard Duff, Margaret Field",western
6478,1956,Blazing the Overland Trail,American,Spencer Bennet,Lee Roberts,serial
6479,1956,Blue Cat Blues,American,Hanna-Barbera,Tom and Jerry,animation
6480,1956,The Boss,American,Byron Haskin,"John Payne, William Bishop",drama
6481,1956,The Bottom of the Bottle,American,Henry Hathaway,"Joseph Cotten, Van Johnson, Ruth Roman",drama
6482,1956,The Brass Legend,American,Gerd Oswald,"Hugh O'Brian, Nancy Gates, Raymond Burr",western
6483,1956,The Broken Star,American,Lesley Selander,"Howard Duff, Lita Baron",western
6484,1956,Broom-Stick Bunny,American,Chuck Jones,Looney Tunes,animation
6485,1956,Bundle of Joy,American,Norman Taurog,"Debbie Reynolds, Eddie Fisher",comedy
6486,1956,The Burning Hills,American,Stuart Heisler,"Tab Hunter, Natalie Wood, Skip Homeier, Claude Akins",western
6487,1956,Bus Stop,American,Joshua Logan,"Marilyn Monroe, Don Murray",drama
6488,1956,Busy Buddies,American,Hanna-Barbera,Tom and Jerry,animation
6489,1956,Calling Homicide,American,Edward Bernds,"Bill Elliott, Kathleen Case",crime
6490,1956,Canyon River,American,Harmon Jones,"George Montgomery, Marcia Henderson",western
6491,1956,Carousel,American,Henry King,"Shirley Jones, Gordon MacRae",musical
6492,1956,The Catered Affair,American,Richard Brooks,"Bette Davis, Debbie Reynolds, Ernest Borgnine",drama
6493,1956,Cha-Cha-Cha Boom!,American,Fred F. Sears,"Stephen Dunne, Helen Grayco",musical
6494,1956,Comanche,American,George Sherman,"Dana Andrews, Kent Smith, Nestor Paiva",western
6495,1956,The Come On,American,Russell Birdwell,"Anne Baxter, Sterling Hayden",drama
6496,1956,Commotion on the Ocean,American,Jules White,Three Stooges,short
6497,1956,The Conqueror,American,Dick Powell,"John Wayne, Susan Hayward, Pedro Armendáriz",adventure
6498,1956,The Court Jester,American,"Melvin Frank, Norman Panama","Danny Kaye, Basil Rathbone, Angela Lansbury",comedy
6499,1956,Crashing Las Vegas,American,Jean Yarbrough,"Leo Gorcey, Huntz Hall, Mary Castle",comedy
6500,1956,The Creature Walks Among Us,American,John Sherwood,"Jeff Morrow, Rex Reason, Leigh Snowden",science fiction
6501,1956,Creeps,American,Jules White,Three Stooges,short
6502,1956,Crime Against Joe,American,Lee Sholem,"Julie London, John Bromfield",crime drama
6503,1956,Crime in the Streets,American,Don Siegel,"James Whitmore, John Cassavetes",crime drama
6504,1956,A Cry in the Night,American,Frank Tuttle,"Natalie Wood, Edmond O'Brien, Raymond Burr",thriller
6505,1956,"Curucu, Beast of the Amazon",American,Curt Siodmak,"John Bromfield, Beverly Garland",adventure
6506,1956,A Day of Fury,American,Harmon Jones,"Dale Robertson, Mara Corday, Jock Mahoney",western
6507,1956,D-Day the Sixth of June,American,Henry Koster,"Robert Taylor, Richard Todd",war
6508,1956,"Dance with Me, Henry",American,Charles Barton,Bud Abbott and Lou Costello,comedy
6509,1956,"Daniel Boone, Trail Blazer",American,Ismael Rodríguez,"Bruce Bennett, Lon Chaney Jr.",adventure
6510,1956,Davy Crockett and the River Pirates,American,Norman Foster,"Fess Parker, Buddy Ebsen",western
6511,1956,Death of a Scoundrel,American,Charles Martin,"George Sanders, Zsa Zsa Gabor",drama
6513,1956,Diane,American,David Miller,"Lana Turner, Roger Moore, Pedro Armendáriz",drama
6514,1956,Dig That Uranium,American,Edward Bernds,"Leo Gorcey, Huntz Hall, Mary Beth Hughes",comedy
6515,1956,Down Beat Bear,American,Hanna-Barbera,Tom and Jerry,animation
6516,1956,Earth vs. the Flying Saucers,American,Fred F. Sears,"Hugh Marlowe, Joan Taylor",science fiction
6517,1956,The Eddy Duchin Story,American,George Sidney,"Tyrone Power, Kim Novak",biography
6519,1956,Everything but the Truth,American,Jerry Hopper,"Maureen O'Hara, John Forsythe",comedy
6520,1956,The Fastest Gun Alive,American,Russell Rouse,"Glenn Ford, Jeanne Crain, Broderick Crawford",western
6521,1956,Feedin' the Kiddie,American,Hanna-Barbera,Tom and Jerry,animation
6522,1956,Fighting Trouble,American,George Blair,"Huntz Hall, Stanley Clements, Adele Jergens",comedy
6523,1956,Fire Maidens from Outer Space,American,Cy Roth,"Anthony Dexter, Susan Shaw",sci
6524,1956,The First Texan,American,Byron Haskin,"Joel McCrea, Felicia Farr, Jeff Morrow",western
